id,type,sex,ethnicity,year_of_birth
Janelle James,Person,female,Black,1984
Jason Segel,Person,male,White,1980
Jason Sudeikis,Person,male,White,1975
Javier Bardem,Person,male,White,1969
Jay Cocks,Person,male,White,1944
Jean Smart,Person,female,White,1951
Jeff Bridges,Person,male,White,1949
Jeffrey Wright,Person,male,Black,1965
Jenna Ortega,Person,female,Latin,2002
Jennifer Aniston,Person,female,White,1969
Jennifer Coolidge,Person,female,White,1961
Jennifer Lawrence,Person,female,White,1990
Jeremy Allen White,Person,male,White,1991
Jeremy Pope,Person,male,Black,1992
Jeremy Strong,Person,male,White,1978
Jesse Eisenberg,Person,male,White,1983
Jesse Plemons,Person,male,White,1988
Jessica Chastain,Person,female,White,1977
Jessica Gunning,Person,female,White,1986
Jessie Buckley,Person,female,White,1989
Joachim Trier,Person,male,White,1974
Joan Scanlan,Person,female,White,1961
Joaquin Phoenix,Person,male,White,1974
Jodie Foster,Person,female,White,1962
"John ""Divine G"" Whitfield",Person,male,Black,1964
John Lithgow,Person,male,White,1945
John Turturro,Person,male,White,1957
Jon Hamm,Person,male,White,1971
Jon Spaihts,Person,male,White,1970
Jonathan Glazer,Person,male,White,1973
Jonathan Pryce,Person,male,White,1947
Josh Singer,Person,male,White,1972
Joslyn Barnes,Person,female,Black,
Judd Hirsch,Person,male,White,1935
Judi Dench,Person,female,White,1934
Julia Ducouru,Person,female,White,1983
Julia Garner,Person,female,White,1994
Julia Roberts,Person,female,White,1967
Julianne Moore,Person,female,White,1960
Juno Temple,Person,female,White,1989
Justin Marks,Person,male,White,1980
Justine Triet,Person,female,White,1978
Kaitlyn Dever,Person,female,White,1996
Kaley Cuoco,Person,female,White,1985
Kali Reis,Person,female,Mixed,1986
Karla Sofía Gascón,Person,female,Mixed,1972
Kate Winslet,Person,female,White,1975
Kathryn Hahn,Person,female,White,1973
Kathy Bates,Person,female,White,1948
Kazuo Ishiguro,Person,male,Asian,1954
Ke Huy Quan,Person,male,Asian,1971
Keira Knightley,Person,female,White,1985
Kenneth Bragh,Person,male,White,1960
Keri Russell,Person,female,White,1976
Kerry Condon,Person,female,White,1983
Kevin Costner,Person,male,White,1955
Kevin Kline,Person,male,White,1947
Kieran Culkin,Person,male,White,1982
Kirsten Dunst,Person,female,White,1982
Kodi Smit-McPhee,Person,male,White,1996
Kristen Bell,Person,female,White,1980
Kristen Stewart,Person,female,White,1990
Lady Gaga,Person,female,White,1986
Laura Linney,Person,female,White,1964
Léa Mysius,Person,female,White,1989
Lee Jung-jae,Person,male,Asian,1972
Leonardo DiCaprio,Person,male,White,1974
Lesley Manville,Person,female,White,1956
Lesley Paterson,Person,female,White,1980
Liam Óg Ó HAnidh,Person,male,White,1997
Lily Gladstone,Person,female,Indigenous,1986
Lily James,Person,female,White,1989
Liza Colón-Zayas,Person,female,Latin,1972
Maggie Gyllenhaal,Person,female,White,1977
Mahershala Ali,Person,male,Black,1974
Margaret Qualley,Person,female,White,1994
Margot Robbie,Person,female,White,1990
Marianne Jean-Baptiste,Person,female,Mixed,1967
Marion Cotillard,Person,female,White,1975
Mark Duplass,Person,male,White,1976
Mark Ruffalo,Person,male,White,1967
Martin McDonagh,Person,male,White,1970
Martin Scorsese,Person,male,White,1942
Martin Short,Person,male,White,1950
Matt Bomer,Person,male,White,1977
Matt Damon,Person,male,White,1970
Matthew Macfadyen,Person,male,White,1974
Maya Erskine,Person,female,Asian,1987
Meryl Streep,Person,female,White,1949
Michael Keaton,Person,male,White,1951
Michaela Jaé Rodriguez,Person,female,Mixed,1990
Michelle Williams,Person,female,White,1980
Michelle Yeoh,Person,female,Asian,1962
Mikey Madison,Person,female,White,1999
Mona Fastvold,Person,female,White,1986
Monica Barbaro,Person,female,Mixed,1990
Moritz Binder,Person,male,White,1982
Naoise Ó Cairealláin,Person,male,White,1994
Naomi Watts,Person,female,White,1968
Natalie Portman,Person,female,White,1981
Natasha Lyonne,Person,female,White,1979
Nicholas Hoult,Person,male,White,1989
Nicolas Cage,Person,male,White,1964
Nicolas Livecchi,Person,male,White,1978
Nicole Kidman,Person,female,White,1967
Niecy Nash-Betts,Person,female,Black,1970
Noah Baumbach,Person,male,White,1969
Oh Young-soo,Person,male,Asian,1944
Olivia Colman,Person,female,White,1974
Omar Sy,Person,male,Black,1978
Oscar Isaac,Person,male,Latin,1979
Pamela Anderson,Person,female,White,1967
Park Chan-wook,Person,male,Asian,1963
Paul Bettany,Person,male,White,1971
Paul Giamatti,Person,male,White,1967
Paul Mescal,Person,male,White,1996
Paul Thomas Anderson,Person,male,White,1970
Paul Walter Hauser,Person,male,White,1986
Payal Kapadia,Person,female,Asian,1986
Pedro Pascal,Person,male,Latin,1975
Penélope Cruz,Person,female,White,1974
Peter Craig,Person,male,White,1969
Peter Dinklage,Person,male,White,1969
Peter Straughan,Person,male,White,1968
Quinta Brunson,Person,female,Black,1989
Rachel Brosnahan,Person,female,White,1990
Rachel Weisz,Person,female,White,1970
Rachel Zegler,Person,female,Latin,2001
Ralph Fiennes,Person,male,White,1962
RaMell Ross,Person,male,Black,1982
Rebecca Lenkiewicz,Person,female,White,1968
Rete Reinsve,Person,female,White,1987
Rian Johnson,Person,male,White,1973
Rich Peppiatt,Person,male,White,1981
Richard Gadd,Person,male,White,1989
Richard Jenkins,Person,male,White,1947
Riley Keough,Person,female,White,1989
Robert De Niro,Person,male,White,1943
Robert Downey Jr.,Person,male,White,1965
Rosamund Pike,Person,female,White,1979
Ruben Östlund,Person,male,White,1974
Ruth Negga,Person,female,Black,1981
Ryan Gosling,Person,male,White,1980
Ryusuke Hamaguchi,Person,male,Asian,1978
Ryūsuke Hamaguchi,Person,male,Asian,1978
Sam Claflin,Person,male,White,1986
Samuel D Hunter,Person,male,White,1981
Samy Burch,Person,female,White,
Sandra Hüller,Person,female,White,1978
Saoirse Ronan,Person,female,White,1994
Sarah Polley,Person,female,White,1979
Sarah Snook,Person,female,White,1987
Sean Baker,Person,male,White,1971
Sebastian Stan,Person,male,White,1982
Selena Gomez,Person,female,Latin,1992
Seth Rogen,Person,male,White,1982
Sheryl Lee Ralph,Person,female,Black,1956
Siân Heder,Person,female,White,1977
Sofía Vergara,Person,female,Latin,1972
Stephanie Hsu,Person,female,Asian,1990
Stephen Graham,Person,male,White,1973
Sterling K. Brown,Person,male,Black,1976
Steve Martin,Person,male,White,1945
Steven Spielberg,Person,male,White,1946
Steven Yeun,Person,male,Asian,1983
Tadanobu Asano,Person,male,Asian,1973
Tahar Rahim,Person,male,Arab,1981
Takamasa Oe,Person,male,Asian,1981
Taron Egerton,Person,male,White,1989
Ted Danson,Person,male,White,1947
Teo Yoo,Person,male,Asian,1979
Tessa Thompson,Person,female,Mixed,1983
Thomas Bidegain,Person,male,White,1976
Tilda Swinton,Person,female,White,1960
Tim Fehlbaum,Person,male,White,1982
Timothée Chalamet,Person,male,White,1995
Todd Field,Person,male,White,1964
Tony Kushner,Person,male,White,1956
Tony Mcmara,Person,male,White,1967
Tracee Ellis Ross,Person,female,Black,1972
Troy Kotsur,Person,male,White,1968
Tyler Williams,Person,male,Black,1992
Uzo Aduba,Person,female,Black,1981
Viola Davis,Person,female,Black,1965
Vivian Oparah,Person,female,Black,1996
Will Smith,Person,male,Black,1968
Willem Dafoe,Person,male,White,1955
Woody Harrelson,Person,male,White,1961
Yorgos Lanthimos,Person,male,White,1973
Yura Borisov,Person,male,White,1992
Zach Baylin,Person,male,White,1978
Zendaya,Person,female,Black,1996
Zoe Saldaña,Person,female,Mixed,1978
