from,to,year,award,weight,category,project,sex,ethnicity,year of birth
Joaquin Phoenix,Golden Globe,2024,Golden Globe,1,acting,Beau is Afraid,male,White,1974
Matt Damon,Golden Globe,2024,Golden Globe,1,acting,Air,male,White,1970
Nicolas Cage,Golden Globe,2024,Golden Globe,1,acting,Dream Scenario,male,White,1964
Paul Giamatti,Golden Globe,2024,Golden Globe,2,acting,The Holdovers,male,White,1967
Timothée Chalamet,Golden Globe,2024,Golden Globe,1,acting,Wonka,male,White,1995
Charles Melton,Golden Globe,2024,Golden Globe,1,acting,May December,male,Mixed,1991
Mark Ruffalo,Golden Globe,2024,Golden Globe,1,acting,Poor Things,male,White,1967
Robert De Niro,Golden Globe,2024,Golden Globe,1,acting,Killers of the Flower Moon,male,White,1943
Robert Downey Jr.,Golden Globe,2024,Golden Globe,2,acting,Oppenheimer,male,White,1965
Ryan Gosling,Golden Globe,2024,Golden Globe,1,acting,Barbie,male,White,1980
Willem Dafoe,Golden Globe,2024,Golden Globe,1,acting,Poor Things,male,White,1955
Brian Cox,Golden Globe,2024,Golden Globe,1,acting,Succession,male,White,1946
Dominic West,Golden Globe,2024,Golden Globe,1,acting,The Crown,male,White,1969
Gary Oldman,Golden Globe,2024,Golden Globe,1,acting,Slow Horses,male,White,1958
Jeremy Strong,Golden Globe,2024,Golden Globe,1,acting,Succession,male,White,1978
Kieran Culkin,Golden Globe,2024,Golden Globe,2,acting,Succession,male,White,1982
Pedro Pascal,Golden Globe,2024,Golden Globe,1,acting,The Last of Us,male,Latin,1975
Bill Hader,Golden Globe,2024,Golden Globe,1,acting,Barry,male,White,1978
Jason Segel,Golden Globe,2024,Golden Globe,1,acting,Shrinking,male,White,1980
Jason Sudeikis,Golden Globe,2024,Golden Globe,1,acting,Ted Lasso,male,White,1975
Jeremy Allen White,Golden Globe,2024,Golden Globe,2,acting,The Bear,male,White,1991
Martin Short,Golden Globe,2024,Golden Globe,1,acting,Only Murders in the Building,male,White,1950
Steve Martin,Golden Globe,2024,Golden Globe,1,acting,Only Murders in the Building,male,White,1945
David Oyelowo,Golden Globe,2024,Golden Globe,1,acting,Lawmen: Bass Reeves,male,Black,1976
Jon Hamm,Golden Globe,2024,Golden Globe,1,acting,Fargo,male,White,1971
Matt Bomer,Golden Globe,2024,Golden Globe,1,acting,Fellow Travelers,male,White,1977
Sam Claflin,Golden Globe,2024,Golden Globe,1,acting,Daisy Jones and the Six,male,White,1986
Steven Yeun,Golden Globe,2024,Golden Globe,2,acting,Beef,male,Asian,1983
Woody Harrelson,Golden Globe,2024,Golden Globe,1,acting,White House Plumbers,male,White,1961
Alan Ruck,Golden Globe,2024,Golden Globe,1,acting,Succession,male,White,1956
Alexander Skarsgård,Golden Globe,2024,Golden Globe,1,acting,Succession,male,White,1976
Billy Crudup,Golden Globe,2024,Golden Globe,1,acting,The Morning Show,male,White,1968
Ebon Moss–Bachrach,Golden Globe,2024,Golden Globe,1,acting,The Bear,male,White,1977
James Marsden,Golden Globe,2024,Golden Globe,1,acting,Jury Duty,male,White,1973
Matthew Macfadyen,Golden Globe,2024,Golden Globe,2,acting,Succession,male,White,1974
Austin Butler,Golden Globe,2023,Golden Globe,2,acting,Elvis,male,White,1991
Bill Nighy,Golden Globe,2023,Golden Globe,1,acting,Living,male,White,1949
Brendan Fraser,Golden Globe,2023,Golden Globe,1,acting,The Whale,male,White,1968
Hugh Jackman,Golden Globe,2023,Golden Globe,1,acting,The Son,male,White,1968
Jeremy Pope,Golden Globe,2023,Golden Globe,1,acting,The Inspection,male,Black,1992
Barry Keoghan,Golden Globe,2023,Golden Globe,1,acting,The Banshees of Inisherin,male,White,1992
Brad Pitt,Golden Globe,2023,Golden Globe,1,acting,Babylon,male,White,1963
Brendan Gleeson,Golden Globe,2023,Golden Globe,1,acting,The Banshees of Inisherin,male,White,1955
Eddie Redmayne,Golden Globe,2023,Golden Globe,1,acting,The Good Nurse,male,White,1982
Ke Huy Quan,Golden Globe,2023,Golden Globe,2,acting,Everything Everywhere All at Once,male,Asian,1971
Adam Scott,Golden Globe,2023,Golden Globe,1,acting,Severance,male,White,1973
Bob Odenkirk,Golden Globe,2023,Golden Globe,1,acting,Better Call Saul,male,White,1962
Diego Luna,Golden Globe,2023,Golden Globe,1,acting,Andor,male,Latin,1979
Jeff Bridges,Golden Globe,2023,Golden Globe,1,acting,The Old Man,male,White,1949
Kevin Costner,Golden Globe,2023,Golden Globe,2,acting,Yellowstone,male,White,1955
Bill Hader,Golden Globe,2023,Golden Globe,1,acting,Barry,male,White,1978
Donald Glover,Golden Globe,2023,Golden Globe,1,acting,Atlanta,male,Black,1983
Jeremy Allen White,Golden Globe,2023,Golden Globe,2,acting,The Bear,male,White,1991
Martin Short,Golden Globe,2023,Golden Globe,1,acting,Only Murders in the Building,male,White,1950
Steve Martin,Golden Globe,2023,Golden Globe,1,acting,Only Murders in the Building,male,White,1945
Henry Winkler,Golden Globe,2023,Golden Globe,1,acting,Barry,male,White,1945
John Lithgow,Golden Globe,2023,Golden Globe,1,acting,The Old Man,male,White,1945
John Turturro,Golden Globe,2023,Golden Globe,1,acting,Severance,male,White,1957
Jonathan Pryce,Golden Globe,2023,Golden Globe,1,acting,The Crown,male,White,1947
Tyler Williams,Golden Globe,2023,Golden Globe,2,acting,Abbott Elementary,male,Black,1992
Domhnall Gleeson,Golden Globe,2023,Golden Globe,1,acting,The Patient,male,White,1983
F. Murray Abraham,Golden Globe,2023,Golden Globe,1,acting,The White Lotus,male,Mixed,1939
Paul Walter Hauser,Golden Globe,2023,Golden Globe,2,acting,Black Bird,male,White,1986
Richard Jenkins,Golden Globe,2023,Golden Globe,1,acting,Dahmer - Monster: The Jeffrey Dahmer Story,male,White,1947
Seth Rogen,Golden Globe,2023,Golden Globe,1,acting,Pam & Tommy,male,White,1982
Adam Driver,Golden Globe,2023,Golden Globe,1,acting,White Noise,male,White,1983
Colin Farrell,Golden Globe,2023,Golden Globe,2,acting,The Banshees of Inisherin,male,White,1976
Daniel Craig,Golden Globe,2023,Golden Globe,1,acting,Glass Onion: A Knives Out Mystery,male,White,1968
Diego Calva,Golden Globe,2023,Golden Globe,1,acting,Babylon,male,Latin,1992
Ralph Fiennes,Golden Globe,2023,Golden Globe,1,acting,The Menu,male,White,1962
Andrew Garfield,Golden Globe,2023,Golden Globe,1,acting,Under the Banner of Heaven,male,White,1983
Colin Firth,Golden Globe,2023,Golden Globe,1,acting,The Staircase,male,White,1960
Evan Peters,Golden Globe,2023,Golden Globe,2,acting,Dahmer - Monster: The Jeffrey Dahmer Story,male,White,1987
Sebastian Stan,Golden Globe,2023,Golden Globe,1,acting,Pam & Tommy,male,White,1982
Taron Egerton,Golden Globe,2023,Golden Globe,1,acting,Black Bird,male,White,1989
Benedict Cumberbatch,Golden Globe,2022,Golden Globe,1,acting,The Power of the Dog,male,White,1976
Denzel Washington,Golden Globe,2022,Golden Globe,1,acting,The Tragedy of Macbeth,male,Black,1954
Javier Bardem,Golden Globe,2022,Golden Globe,1,acting,Being the Ricardos,male,Latin,1969
Mahershala Ali,Golden Globe,2022,Golden Globe,1,acting,Swan Song,male,Black,1974
Will Smith,Golden Globe,2022,Golden Globe,2,acting,King Richard,male,Black,1968
Ben Affleck,Golden Globe,2022,Golden Globe,1,acting,The Tender Bar,male,White,1972
Ciarán Hinds,Golden Globe,2022,Golden Globe,1,acting,Belfast,male,White,1953
Jamie Dornan,Golden Globe,2022,Golden Globe,1,acting,Belfast,male,White,1982
Kodi Smit-McPhee,Golden Globe,2022,Golden Globe,2,acting,The Power of the Dog,male,White,1996
Troy Kotsur,Golden Globe,2022,Golden Globe,1,acting,CODA,male,White,1968
Billy Porter,Golden Globe,2022,Golden Globe,1,acting,Pose,male,Black,1969
Brian Cox,Golden Globe,2022,Golden Globe,1,acting,Succession,male,White,1946
Jeremy Strong,Golden Globe,2022,Golden Globe,2,acting,Succession,male,White,1978
Lee Jung-jae,Golden Globe,2022,Golden Globe,1,acting,Squid Game,male,Asian,1972
Omar Sy,Golden Globe,2022,Golden Globe,1,acting,Lupin,male,Black,1978
Anthony Anderson,Golden Globe,2022,Golden Globe,1,acting,Black-ish,male,Black,1970
Jason Sudeikis,Golden Globe,2022,Golden Globe,2,acting,Ted Lasso,male,White,1975
Martin Short,Golden Globe,2022,Golden Globe,1,acting,Only Murders in the Building,male,White,1950
Nicholas Hoult,Golden Globe,2022,Golden Globe,1,acting,The Great,male,White,1989
Steve Martin,Golden Globe,2022,Golden Globe,1,acting,Only Murders in the Building,male,White,1945
Billy Crudup,Golden Globe,2022,Golden Globe,1,acting,The Morning Show,male,White,1968
Brett Goldstein,Golden Globe,2022,Golden Globe,1,acting,Ted Lasso,male,White,1980
Kieran Culkin,Golden Globe,2022,Golden Globe,1,acting,Succession,male,White,1982
Mark Duplass,Golden Globe,2022,Golden Globe,1,acting,The Morning Show,male,White,1976
Oh Young-soo,Golden Globe,2022,Golden Globe,2,acting,Squid Game,male,Asian,1944
Andrew Garfield,Golden Globe,2022,Golden Globe,2,acting,"tick, tick...BOOM!",male,White,1983
Anthony Ramos,Golden Globe,2022,Golden Globe,1,acting,In the Heights,male,Latin,1991
Cooper Hoffman,Golden Globe,2022,Golden Globe,1,acting,Licorice Pizza,male,White,2003
Leonardo DiCaprio,Golden Globe,2022,Golden Globe,1,acting,Don't Look Up,male,White,1974
Peter Dinklage,Golden Globe,2022,Golden Globe,1,acting,Cyrano,male,White,1969
Ewan McGregor,Golden Globe,2022,Golden Globe,1,acting,Halston,male,White,1971
Michael Keaton,Golden Globe,2022,Golden Globe,2,acting,Dopesick,male,White,1951
Oscar Isaac,Golden Globe,2022,Golden Globe,1,acting,Scenes from a Marriage-TV,male,Latin,1979
Paul Bettany,Golden Globe,2022,Golden Globe,1,acting,WandaVision,male,White,1971
Tahar Rahim,Golden Globe,2022,Golden Globe,1,acting,The Serpent,male,Arab,1981
Adrien Brody,BAFTA,2025,BAFTA,2,acting,The Brutalist,male,White,1973
Timothée Chalamet,BAFTA,2025,BAFTA,1,acting,A Complete Unknown,male,White,1995
Ralph Fiennes,BAFTA,2025,BAFTA,1,acting,Conclave,male,White,1962
Hugh Grant,BAFTA,2025,BAFTA,1,acting,Heretic,male,White,1960
Colman Domingo,BAFTA,2025,BAFTA,1,acting,Sing Sing,male,Black,1969
Sebastian Stan,BAFTA,2025,BAFTA,1,acting,The Apprentice,male,White,1982
Cillian Murphy,BAFTA,2024,BAFTA,2,acting,Oppenheimer,male,White,1976
Bradley Cooper,BAFTA,2024,BAFTA,1,acting,Maestro,male,White,1975
Teo Yoo,BAFTA,2024,BAFTA,1,acting,Past Lives,male,Asian,1979
Colman Domingo,BAFTA,2024,BAFTA,1,acting,Rustin,male,Black,1969
Barry Keoghan,BAFTA,2024,BAFTA,1,acting,Saltburn,male,White,1992
Paul Giamatti,BAFTA,2024,BAFTA,1,acting,The Holdovers,male,White,1967
Austin Butler,BAFTA,2023,BAFTA,2,acting,Elvis,male,White,1991
Daryl McCormack,BAFTA,2023,BAFTA,1,acting,"Good Luck to You, Leo Grande",male,White,1993
Bill Nighy,BAFTA,2023,BAFTA,1,acting,Living,male,White,1949
Colin Farrell,BAFTA,2023,BAFTA,1,acting,The Banshees of Inisherin,male,White,1976
Brendan Fraser,BAFTA,2023,BAFTA,1,acting,The Whale,male,White,1968
Paul Mescal,BAFTA,2023,BAFTA,1,acting,Aftersun,male,White,1996
Will Smith,BAFTA,2022,BAFTA,2,acting,King Richard,male,Black,1968
Adeel Akhtar,BAFTA,2022,BAFTA,1,acting,Ali & Ava,male,Asian,1980
Benedict Cumberbatch,BAFTA,2022,BAFTA,1,acting,The Power of the Dog,male,White,1976
Leonardo DiCaprio,BAFTA,2022,BAFTA,1,acting,Don't Look Up,male,White,1974
Mahershala Ali,BAFTA,2022,BAFTA,1,acting,Swan Song,male,Black,1974
Stephen Graham,BAFTA,2022,BAFTA,1,acting,Boling Point,male,White,1973
Sean Baker,Oscar,2025,Oscar,2,directing,Anora,male,White,1971
Brady Corbet,Oscar,2025,Oscar,1,directing,The Brutalist,male,White,1988
James Mangold,Oscar,2025,Oscar,1,directing,A Complete Unknown,male,White,1963
Jacques Audiard,Oscar,2025,Oscar,1,directing,Emilia Pérez,male,White,1952
Coralie Fargeat,Oscar,2025,Oscar,1,directing,The Substance,female,White,1976
Christopher Nolan,Oscar,2024,Oscar,2,directing,Oppenheimer,male,White,1970
Justine Triet,Oscar,2024,Oscar,1,directing,Anatomy of a Fall,female,White,1978
Martin Scorsese,Oscar,2024,Oscar,1,directing,Killers of the Flower Moon,male,White,1942
Yorgos Lanthimos,Oscar,2024,Oscar,1,directing,Poor Things,male,White,1973
Jonathan Glazer,Oscar,2024,Oscar,1,directing,The Zone of Interest,male,White,1973
Daniel Kwan,Oscar,2023,Oscar,2,directing,Everything Everywhere All at Once,male,Asian,1988
Daniel Scheinert,Oscar,2023,Oscar,2,directing,Everything Everywhere All at Once,male,White,1987
Martin McDonagh,Oscar,2023,Oscar,1,directing,The Banshees of Inisherin,male,White,1970
Steven Spielberg,Oscar,2023,Oscar,1,directing,The Fabelmans,male,White,1946
Todd Field,Oscar,2023,Oscar,1,directing,TÁR,male,White,1964
Ruben Östlund,Oscar,2023,Oscar,1,directing,Triangle of Sadness,male,White,1974
Jane Campion,Oscar,2022,Oscar,2,directing,The Power of the Dog,female,White,1954
Kenneth Branagh,Oscar,2022,Oscar,1,directing,Belfast,male,White,1960
Ryusuke Hamaguchi,Oscar,2022,Oscar,1,directing,Drive My Car,male,Asian,1978
Paul Thomas Anderson,Oscar,2022,Oscar,1,directing,Licorice Pizza,male,White,1970
Steven Spielberg,Oscar,2022,Oscar,1,directing,West Side Story,male,White,1946
Brady Corbet,Golden Globes,2025,Golden Globes,2,directing,The Brutalist,male,White,1988
Coralie Fargeat,Golden Globes,2025,Golden Globes,1,directing,The Substance,female,White,1976
Edward Berger,Golden Globes,2025,Golden Globes,1,directing,Conclave,male,White,1970
Jacques Audiard,Golden Globes,2025,Golden Globes,1,directing,Emilia Pérez,male,White,1952
Payal Kapadia,Golden Globes,2025,Golden Globes,1,directing,All We Imagine as Light,female,Asian,1986
Sean Baker,Golden Globes,2025,Golden Globes,1,directing,Anora,male,White,1986
Christopher Nolan,Golden Globes,2024,Golden Globes,2,directing,Oppenheimer,male,White,1970
Bradley Cooper,Golden Globes,2024,Golden Globes,1,directing,Maestro,male,White,1975
Celine Song,Golden Globes,2024,Golden Globes,1,directing,Past Lives,female,Asian,1988
Greta Gerwig,Golden Globes,2024,Golden Globes,1,directing,Barbie,female,White,1983
Martin Scorsese,Golden Globes,2024,Golden Globes,1,directing,Killers of the Flower Moon,male,White,1942
Yorgos Lanthimos,Golden Globes,2024,Golden Globes,1,directing,Poor Things,male,White,1973
Steven Spielberg,Golden Globes,2023,Golden Globes,2,directing,The Fabelmans,male,White,1946
Martin McDonagh,Golden Globes,2023,Golden Globes,1,directing,The Banshees of Inisherin,male,White,1970
James Cameron,Golden Globes,2023,Golden Globes,1,directing,Avatar: The Way of Water,male,White,1954
Daniel Kwan,Golden Globes,2023,Golden Globes,1,directing,Everything Everywhere All at Once,male,Asian,1988
Daniel Scheinert,Golden Globes,2023,Golden Globes,1,directing,Everything Everywhere All at Once,male,White,1987
Baz Luhrmann,Golden Globes,2023,Golden Globes,1,directing,Elvis,male,White,1962
Jane Campion,Golden Globes,2022,Golden Globes,2,directing,The Power of the Dog,female,White,1954
Denis Villeneuve,Golden Globes,2022,Golden Globes,1,directing,Dune,male,White,1967
Kenneth Branagh,Golden Globes,2022,Golden Globes,1,directing,Belfast,male,White,1960
Maggie Gyllenhaal,Golden Globes,2022,Golden Globes,1,directing,The Lost Daughter,female,White,1977
Steven Spielberg,Golden Globes,2022,Golden Globes,1,directing,West Side Story (2021),male,White,1946
Brady Crobet,BAFTA,2025,BAFTA,2,directing,The Brutalist,male,White,1988
Jacques Audiard,BAFTA,2025,BAFTA,1,directing,Emilia Pérez,male,White,1952
Sean Baker,BAFTA,2025,BAFTA,1,directing,Anora,male,White,1971
Edward Berger,BAFTA,2025,BAFTA,1,directing,Conclave,male,White,1970
Coralie Fargeat,BAFTA,2025,BAFTA,1,directing,The Substance,female,White,1976
Denis Villeneuve,BAFTA,2025,BAFTA,1,directing,Dune: Part Two,male,White,1967
Christopher Nolan,BAFTA,2024,BAFTA,2,directing,Oppenheimer,male,White,1970
Bradley Cooper,BAFTA,2024,BAFTA,1,directing,Maestro,male,White,1975
Jonathan Glazer,BAFTA,2024,BAFTA,1,directing,The Zone of Interest,male,White,1965
Andrew Haigh,BAFTA,2024,BAFTA,1,directing,All of Us Strangers,male,White,1973
Alexander Payne,BAFTA,2024,BAFTA,1,directing,The Holdovers,male,White,1961
Justine Triet,BAFTA,2024,BAFTA,1,directing,Anatomy of a Fall,female,White,1978
Edward Berger,BAFTA,2023,BAFTA,2,directing,All Quiet on the Western Front,male,White,1970
Park Chan-wook,BAFTA,2023,BAFTA,1,directing,Decision to Leave,male,Asian,1963
Todd Field,BAFTA,2023,BAFTA,1,directing,TÁR ,male,White,1964
Daniel Kwan,BAFTA,2023,BAFTA,1,directing,Everything Everywhere All at Once,male,Asian,1988
Daniel Scheinert,BAFTA,2023,BAFTA,1,directing,Everything Everywhere All at Once,male,White,1987
Martin McDonagh,BAFTA,2023,BAFTA,1,directing,The Banshees of Inisherin,male,White,1970
Gina Prince-Bythewood,BAFTA,2023,BAFTA,1,directing,The Woman King,female,Black,1969
Jane Campion,BAFTA,2022,BAFTA,2,directing,The Power of the Dog,female,White,1954
Audrey Diwan,BAFTA,2022,BAFTA,1,directing,Happening,female,Mixed,1980
Julia Ducournau,BAFTA,2022,BAFTA,1,directing,Titane,female,White,1983
Ryūsuke Hamaguchi,BAFTA,2022,BAFTA,1,directing,Drive My Car,male,Asian,1978
Aleem Khan,BAFTA,2022,BAFTA,1,directing,After Love,male,Asian,1985
Paul Thomas Anderson,BAFTA,2022,BAFTA,1,directing,Licorice Pizza,male,White,1970
Peter Straughan,Oscar,2025,Oscar,2,writing,Conclave,male,White,1968
James Mangold,Oscar,2025,Oscar,1,writing,A Complete Unknown,male,White,1963
Jay Cocks,Oscar,2025,Oscar,1,writing,A Complete Unknown,male,White,1944
Jacques Audiard,Oscar,2025,Oscar,1,writing,Emilia Pérez,male,White,1952
Thomas Bidegain,Oscar,2025,Oscar,1,writing,Emilia Pérez,male,White,1976
Léa Mysius,Oscar,2025,Oscar,1,writing,Emilia Pérez,female,White,1989
Nicolas Livecchi,Oscar,2025,Oscar,1,writing,Emilia Pérez,male,White,1978
RaMell Ross,Oscar,2025,Oscar,1,writing,Nickel Boys,male,Black,1982
Joslyn Barnes,Oscar,2025,Oscar,1,writing,Nickel Boys,female,Black,NA
Clint Bentley,Oscar,2025,Oscar,1,writing,Sing Sing,male,White,1985
Greg Kwedar,Oscar,2025,Oscar,1,writing,Sing Sing,male,White,1980
Clarence Maclin,Oscar,2025,Oscar,1,writing,Sing Sing,male,Black,1966
"John ""Divine G"" Whitfield",Oscar,2025,Oscar,1,writing,Sing Sing,male,Black,1964
Cord Jefferson,Oscar,2024,Oscar,2,writing,American Fiction,male,Black,1982
Greta Gerwig,Oscar,2024,Oscar,1,writing,Barbie,female,White,1983
Noah Baumbach,Oscar,2024,Oscar,1,writing,Barbie,male,White,1969
Christopher Nolan,Oscar,2024,Oscar,1,writing,Oppenheimer,male,White,1970
Tony McNamara,Oscar,2024,Oscar,1,writing,Poor Things,male,White,1967
Jonathan Glazer,Oscar,2024,Oscar,1,writing,The Zone of Interest,male,White,1965
Sarah Polley,Oscar,2023,Oscar,2,writing,Women Talking,female,White,1979
Edward Berger,Oscar,2023,Oscar,1,writing,All Quiet on the Western Front,male,White,1970
Lesley Paterson,Oscar,2023,Oscar,1,writing,All Quiet on the Western Front,female,White,1980
Ian Stokell,Oscar,2023,Oscar,1,writing,All Quiet on the Western Front,male,White,1959
Rian Johnson,Oscar,2023,Oscar,1,writing,Glass Onion: A Knives Out Mystery,male,White,1973
Kazuo Ishiguro,Oscar,2023,Oscar,1,writing,Living,male,Asian,1954
Ehren Kruger ,Oscar,2023,Oscar,1,writing,Top Gun: Maverick,male,White,1972
Eric Warren Singer,Oscar,2023,Oscar,1,writing,Top Gun: Maverick,male,White,1978
Christopher McQuarrie,Oscar,2023,Oscar,1,writing,Top Gun: Maverick,male,White,1968
Peter Craig,Oscar,2023,Oscar,1,writing,Top Gun: Maverick,male,White,1969
Justin Marks,Oscar,2023,Oscar,1,writing,Top Gun: Maverick,male,White,1980
Siân Heder,Oscar,2022,Oscar,2,writing,CODA,female,White,1977
Ryusuke Hamaguchi,Oscar,2022,Oscar,1,writing,Drive My Car,male,Asian,1978
Takamasa Oe,Oscar,2022,Oscar,1,writing,Drive My Car,male,Asian,1981
Jon Spaihts,Oscar,2022,Oscar,1,writing,Dune,male,White,1970
Denis Villeneuve,Oscar,2022,Oscar,1,writing,Dune,male,White,1967
Eric Roth,Oscar,2022,Oscar,1,writing,Dune,male,White,1945
Maggie Gyllenhaal,Oscar,2022,Oscar,1,writing,The Lost Daughter,female,White,1977
Jane Campion,Oscar,2022,Oscar,1,writing,The Power of the Dog,female,White,1954
Sean Baker,Oscar,2025,Oscar,2,writing,Anora,male,White,1971
Brady Corbet,Oscar,2025,Oscar,1,writing,The Brutalist,male,White,1988
Mona Fastvold,Oscar,2025,Oscar,1,writing,The Brutalist,female,White,1986
Jesse Eisenberg,Oscar,2025,Oscar,1,writing,A Real Pain,male,White,1983
Moritz Binder,Oscar,2025,Oscar,1,writing,September 5,male,White,1982
Tim Fehlbaum,Oscar,2025,Oscar,1,writing,September 5,male,White,1982
Alex David,Oscar,2025,Oscar,1,writing,September 5,male,White,NA
Coralie Fargeat,Oscar,2025,Oscar,1,writing,The Substance,female,White,1976
Justine Triet,Oscar,2024,Oscar,2,writing,Anatomy of a Fall,female,White,1978
Arthur Harari,Oscar,2024,Oscar,2,writing,Anatomy of a Fall,male,White,1981
David Hemingson,Oscar,2024,Oscar,1,writing,The Holdovers,male,White,1969
Bradley Cooper,Oscar,2024,Oscar,1,writing,Maestro,male,White,1975
Josh Singer,Oscar,2024,Oscar,1,writing,Maestro,male,White,1972
Samy Burch,Oscar,2024,Oscar,1,writing,May December,female,White,NA
Alex Mechanik,Oscar,2024,Oscar,1,writing,May December,male,White,1986
Celine Song,Oscar,2024,Oscar,1,writing,Past Lives,female,Asian,1988
Daniel Kwan,Oscar,2023,Oscar,2,writing,Everything Everywhere All at Once,male,Asian,1988
Daniel Scheinert,Oscar,2023,Oscar,2,writing,Everything Everywhere All at Once,male,White,1987
Martin McDonagh,Oscar,2023,Oscar,1,writing,The Banshees of Inisherin,male,White,1970
Steven Spielberg,Oscar,2023,Oscar,1,writing,The Fabelmans,male,White,1946
Tony Kushner,Oscar,2023,Oscar,1,writing,The Fabelmans,male,White,1956
Todd Field,Oscar,2023,Oscar,1,writing,TÁR,male,White,1964
Ruben Östlund,Oscar,2023,Oscar,1,writing,Triangle of Sadness,male,White,1974
Kenneth Branagh,Oscar,2022,Oscar,2,writing,Belfast,male,White,1975
Adam McKay,Oscar,2022,Oscar,1,writing,Don't Look Up,male,White,1960
David Sirota,Oscar,2022,Oscar,1,writing,Don't Look Up,male,White,1968
Zach Baylin,Oscar,2022,Oscar,1,writing,King Richard,male,White,1978
Paul Thomas Anderson,Oscar,2022,Oscar,1,writing,Licorice Pizza,male,White,1970
Eskil Vogt,Oscar,2022,Oscar,1,writing,The Worst Person in the World,male,White,1974
Joachim Trier,Oscar,2022,Oscar,1,writing,The Worst Person in the World,male,White,1974
Peter Straughan,Golden Globe,2025,Golden Globe,2,writing,Conclave,male,White,1968
Coralie Fargeat,Golden Globe,2025,Golden Globe,1,writing,The Substance,female,White,1976
Brady Corbet,Golden Globe,2025,Golden Globe,1,writing,The Brutalist,male,White,1988
Mona Fastvold,Golden Globe,2025,Golden Globe,1,writing,The Brutalist,female,White,1986
Jacques Audiard,Golden Globe,2025,Golden Globe,1,writing,Emilia Pérez,male,White,1952
Jesse Eisenberg,Golden Globe,2025,Golden Globe,1,writing,A Real Pain,male,White,1983
Sean Baker,Golden Globe,2025,Golden Globe,1,writing,Anora,male,White,1971
Justine Triet,Golden Globe,2024,Golden Globe,2,writing,Anatomy of a Fall,female,White,1978
Arthur Harari,Golden Globe,2024,Golden Globe,2,writing,Anatomy of a Fall,male,White,1981
Celine Song,Golden Globe,2024,Golden Globe,1,writing,Past Lives,female,Asian,1988
Christopher Nolan,Golden Globe,2024,Golden Globe,1,writing,Oppenheimer,male,White,1970
Eric Roth,Golden Globe,2024,Golden Globe,1,writing,Killers of the Flower Moon,male,White,1945
Martin Scorsese,Golden Globe,2024,Golden Globe,1,writing,Killers of the Flower Moon,male,White,1942
Greta Gerwig,Golden Globe,2024,Golden Globe,1,writing,Barbie,female,White,1983
Noah Baumbach,Golden Globe,2024,Golden Globe,1,writing,Barbie,male,White,1969
Tony McNamara,Golden Globe,2024,Golden Globe,1,writing,Poor Things,male,White,1967
Martin McDonagh,Golden Globe,2023,Golden Globe,2,writing,The Banshees of Inisherin,male,White,1970
Daniel Kwan,Golden Globe,2023,Golden Globe,1,writing,Everything Everywhere All at Once,male,Asian,1988
Daniel Scheinert,Golden Globe,2023,Golden Globe,1,writing,Everything Everywhere All at Once,male,White,1987
Sarah Polley,Golden Globe,2023,Golden Globe,1,writing,Women Talking,female,White,1979
Steven Spielberg,Golden Globe,2023,Golden Globe,1,writing,The Fabelmans,male,White,1946
Tony Kushner,Golden Globe,2023,Golden Globe,1,writing,The Fabelmans,male,White,1956
Todd Field,Golden Globe,2023,Golden Globe,1,writing,TÁR,male,White,1964
Kenneth Branagh,Golden Globe,2022,Golden Globe,2,writing,Belfast,male,White,1960
Paul Thomas Anderson,Golden Globe,2022,Golden Globe,1,writing,Licorice Pizza,male,White,1970
Jane Campion,Golden Globe,2022,Golden Globe,1,writing,The Power of the Dog,female,White,1954
Adam McKay,Golden Globe,2022,Golden Globe,1,writing,Don't Look Up,male,White,1968
Aaron Sorkin,Golden Globe,2022,Golden Globe,1,writing,Being the Ricardos,male,White,1961
Peter Straughan,BAFTA,2025,BAFTA,2,writing,Conclave,male,White,1968
James Mangold,BAFTA,2025,BAFTA,1,writing,A Complete Unknown,male,White,1963
Jay Cocks,BAFTA,2025,BAFTA,1,writing,A Complete Unknown,male,White,1944
Jacques Audiard,BAFTA,2025,BAFTA,1,writing,Emilia Pérez,male,White,1952
RaMell Ross,BAFTA,2025,BAFTA,1,writing,Nickel Boys,male,Black,1982
Joslyn Barnes,BAFTA,2025,BAFTA,1,writing,Nickel Boys,female,White,NA
Clint Bentley,BAFTA,2025,BAFTA,1,writing,Sing Sing,male,White,1985
Greg Kwedar,BAFTA,2025,BAFTA,1,writing,Sing Sing,male,White,1984
Clarence Maclin,BAFTA,2025,BAFTA,1,writing,Sing Sing,male,Black,1966
"ohn ""Divine G"" Whitfield",BAFTA,2025,BAFTA,1,writing,Sing Sing,male,Black,1964
Cord Jefferson,BAFTA,2024,BAFTA,2,writing,American Fiction,male,Black,1982
Andrew Haigh,BAFTA,2024,BAFTA,1,writing,All of Us Strangers,male,White,1973
Christopher Nolan,BAFTA,2024,BAFTA,1,writing,Oppenheimer,male,White,1970
Tony McNamara,BAFTA,2024,BAFTA,1,writing,Poor Things,male,White,1967
Jonathan Glazer,BAFTA,2024,BAFTA,1,writing,The Zone of Interest,male,White,1965
Edward Berger,BAFTA,2023,BAFTA,2,writing,All Quiet on the Western Front,male ,White,1970
Ian Stokell,BAFTA,2023,BAFTA,2,writing,All Quiet on the Western Front,male,White,1959
