from,to,year,award,weight,category,project,sex,ethnicity,year of birth
Cristin Milioti,Golden Globe,2025,Golden Globe,1,acting,The Penguin,female,White,1985
Kate Winslet,Golden Globe,2025,Golden Globe,1,acting,The Regime,female,White,1975
Naomi Watts,Golden Globe,2025,Golden Globe,1,acting,Feud: Capote vs. The Swans,female,White,1968
Sofía Vergara,Golden Globe,2025,Golden Globe,1,acting,Griselda,female,Latin,1972
Jessica Gunning,Golden Globe,2025,Golden Globe,2,acting,Baby Reindeer,female,White,1986
Allison Janney,Golden Globe,2025,Golden Globe,1,acting,The Diplomat,female,White,1959
Dakota Fanning,Golden Globe,2025,Golden Globe,1,acting,Ripley,female,White,1994
Hannah Einbinder,Golden Globe,2025,Golden Globe,1,acting,Hacks,female,White,1995
Kali Reis,Golden Globe,2025,Golden Globe,1,acting,True Detective: Night Country,female,Mixed,1986
Liza Colón-Zayas,Golden Globe,2025,Golden Globe,1,acting,The Bear,female,Latin,1972
Lily Gladstone,Golden Globe,2024,Golden Globe,2,acting,Killers of the Flower Moon,female,Indigenous,1986
Annette Bening,Golden Globe,2024,Golden Globe,1,acting,Nyad,female,White,1958
Cailee Spaeny,Golden Globe,2024,Golden Globe,1,acting,Priscilla,female,White,1998
Carey Mulligan,Golden Globe,2024,Golden Globe,1,acting,Maestro,female,White,1985
Greta Lee,Golden Globe,2024,Golden Globe,1,acting,Past Lives,female,Asian,1983
Sandra Hüller,Golden Globe,2024,Golden Globe,1,acting,Anatomy of a Fall,female,White,1978
Emma Stone,Golden Globe,2024,Golden Globe,2,acting,Poor Things,female,White,1988
Alma Pöysti,Golden Globe,2024,Golden Globe,1,acting,Fallen Leaves,female,White,1981
Fantasia Barrino,Golden Globe,2024,Golden Globe,1,acting,The Color Purple (2023),female,Black,1984
Jennifer Lawrence,Golden Globe,2024,Golden Globe,1,acting,No Hard Feelings,female,White,1990
Margot Robbie,Golden Globe,2024,Golden Globe,1,acting,Barbie,female,White,1990
Natalie Portman,Golden Globe,2024,Golden Globe,1,acting,May December,female,White,1981
Da’Vine Joy Randolph,Golden Globe,2024,Golden Globe,2,acting,The Holdovers,female,Black,1989
Danielle Brooks,Golden Globe,2024,Golden Globe,1,acting,The Color Purple (2023),female,Black,1989
Emily Blunt,Golden Globe,2024,Golden Globe,1,acting,Oppenheimer,female,White,1983
Jodie Foster,Golden Globe,2024,Golden Globe,1,acting,Nyad,female,White,1962
Julianne Moore,Golden Globe,2024,Golden Globe,1,acting,May December,female,White,1960
Rosamund Pike,Golden Globe,2024,Golden Globe,1,acting,Saltburn,female,White,1979
Sarah Snook,Golden Globe,2024,Golden Globe,2,acting,Succession,female,White,1987
Keri Russell,Golden Globe,2024,Golden Globe,1,acting,The Diplomat,female,White,1976
Imelda Staunton,Golden Globe,2024,Golden Globe,2,acting,The Crown,female,White,1956
Helen Mirren,Golden Globe,2024,Golden Globe,1,acting,1923,female,White,1945
Bella Ramsey,Golden Globe,2024,Golden Globe,1,acting,The Last of Us,female,White ,2003
Ayo Edebiri,Golden Globe,2024,Golden Globe,2,acting,The Bear,female,Black,1995
Elle Fanning,Golden Globe,2024,Golden Globe,1,acting,The Great,female,White,1998
Natasha Lyonne,Golden Globe,2024,Golden Globe,1,acting,Poker Face,female,White,1979
Quinta Brunson,Golden Globe,2024,Golden Globe,1,acting,Abbott Elementary,female,Black,1989
Rachel Brosnahan,Golden Globe,2024,Golden Globe,1,acting,The Marvelous Mrs. Maisel,female,White,1990
Selena Gomez,Golden Globe,2024,Golden Globe,1,acting,Only Murders in the Building,female,Latin,1992
Ali Wong,Golden Globe,2024,Golden Globe,2,acting,Beef,female,Asian,1982
Brie Larson,Golden Globe,2024,Golden Globe,1,acting,Lessons in Chemistry,female,White,1989
Elizabeth Olsen,Golden Globe,2024,Golden Globe,1,acting,Love & Death,female,White,1989
Juno Temple,Golden Globe,2024,Golden Globe,1,acting,Fargo,female,White,1989
Rachel Weisz,Golden Globe,2024,Golden Globe,1,acting,Dead Ringers,female,White,1970
Riley Keough,Golden Globe,2024,Golden Globe,1,acting,Daisy Jones and the Six,female,White,1989
Elizabeth Debicki,Golden Globe,2024,Golden Globe,2,acting,The Crown,female,White,1990
Christina Ricci,Golden Globe,2024,Golden Globe,1,acting,Yellowjackets,female,White,1980
Abby Elliott,Golden Globe,2024,Golden Globe,1,acting,The Bear,female,White,1987
Hannah Waddingham,Golden Globe,2024,Golden Globe,1,acting,Ted Lasso,female,White,1974
J. Smith-Cameron,Golden Globe,2024,Golden Globe,1,acting,Succession,female,White,1957
Meryl Streep,Golden Globe,2024,Golden Globe,1,acting,Only Murders in the Building,female,White,1949
